Runtime,N,First,Second,Third
,64,3938,3278,3621
,128,6089,6653,5220
,256,22139,16102,11435
,512,75273,35335,25314
,1024,284030,80958,55846
,,,,
,,,,
,,,,
Exchange,N,First,Second,Third
,64,1066,350,223
,128,4181,803,532
,256,16568,1913,1237
,512,65877,4645,2827
,1024,262890,10708,6355
,,,,
,,,,
,,,,
Comparison,N,First,Second,Third
,64,1070,490,360
,128,4186,1148,889
,256,16573,2742,2121
,512,65883,6130,4948
,1024,262896,14205,11302
